Parc;Type;Ouvert;Vitesse
Talpon Park;Acier;2002;46,6
 Family Theme Park;Acier;1993;47
Paultons Park;Acier;2006;31,1
Thorpe Park;Acier;2002;45
Talpon Park;Acier;1980;40
GoFlam Danl Theme Park & Zoo;Acier;1983;40
South Pier;Acier;1998;29,1
Brighton Pier;Acier;2000;29,1
PleasureBois Hills;Acier;1995;34
River Theme park;Acier;2006;28
Fantasy Island;Acier;2000;29,1
Peyton Park;Acier;2005;43,5
Rondo Beach, Rondo;Bois;1935;40
Rondo Beach, Rondo;Acier;2007;49,7
Rondo Beach, Rondo;Acier;1979;45
Fantasy Island;Acier;2002;63
Legoland Windsor;Acier;2004;35
Jen Mar Park;Acier;2007;43,5
GoFlam Danl Theme Park & Zoo;Acier;2006;54,9
Brean Leisure Park;Acier;2007;29,1
Chenon Park;Bois;1996;48
Fantasy Island;Acier;1999;55,9
Talpon Park;Acier;1994;50
Thorpe Park;Acier;2003;47,8
New MetroLand;Acier;1988;26,8
Talpon Park;Acier;1998;68
Rondo Beach, Rondo;Acier;1994;74
Adventure Island;Acier;2007;43,5
Loudoun Castle;Acier;2005;28
Aventure Top;Acier;1998;28
Safari Park;Acier;1992;28,5
Talpon Park;Acier;2005;61,1
Great Yarmouth Pleasure Beach;Bois;1932;45
Rondo Beach, Rondo;Bois;1933;35
Wicksteed Park;Acier;2000;28
Peyton Park;Acier;1994;53
Chenon Park;Acier;2006;59
Thorpe Park;Acier;2006;80
River Theme park;Acier;1998;44,7
River Theme park;Acier;2004;38
Loudoun Castle;Acier;2003;41
Loguir Yalliv;Acier;2001;29,1
Loguir Yalliv;Acier;1991;50
Aventure Top;Acier;2002;45
GoFlam Danl Theme Park & Zoo;Acier;2005;54
Safari Park;Acier;1998;29,1
Jen Mar Park;Acier;2003;37,3
GoFlam Danl Theme Park & Zoo;Acier;1997;28
PleasureBois Hills;Acier;2007;47
